Type	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
3-4:het:>40Mb	0.005373925	0.390284779	1.80E-07	0.00472731	0.002974155	0.00240527	0.00022509	0.02416852	0.002876185	1.00E-08	6.20E-05	0.00090365	0.00958487	0.16670478	0.00450937	0.00048235	0.000536	0.02652536	0.00256084	0.00119273	2.80E-07	0.00051959	2.10E-07	0.001866582	1.05E-07
5-8:het:0-100kb	0.000741212	0.001717201	0.00551728	0.068606241	0.003368305	0.00362532	0.01467759	0.032617975	0.001719672	0.00596208	2.95E-05	0.00044794	0.00098094	0.0014848	0.00286475	0.01032126	0.00049621	0.00230818	0.00185133	0.015153	0.00031093	0.00058946	3.53E-05	0.002082402	0.000307891
5-8:het:100kb-1Mb	0.00011638	0.011630412	0.039523742	0.056865761	0.007209015	0.00454924	0.16196039	0.127337371	0.00135021	0.04005666	0.0438027	0.00783497	0.00090333	0.00011311	0.00878768	0.04438502	0.0124036	0.02222437	0.02780896	0.14454268	0.00022234	0.00175159	0.00091931	0.004128916	0.000567382
5-8:het:1Mb-10Mb	0.000204002	0.019335548	0.162603387	0.01134511	0.008309545	0.00205142	0.21136197	0.061241481	0.001136105	0.01210908	0.185368842	0.00156351	5.80E-07	3.20E-07	0.00632529	0.08961901	0.129027959	0.14409608	0.02161426	0.10976846	9.72E-06	0.004135055	0.00226165	0.005086422	7.90E-06
5-8:het:10Mb-40Mb	1.93E-05	0.025641671	0.122266015	0.00463152	0.00097313	0.00026427	0.0048432	0.008361195	0.000468092	0.00183866	0.057285501	0.00131279	0.00020304	0.00011361	0.0281915	0.08336645	0.055166629	0.18136026	0.00344696	0.01800115	0.00012714	0.001374835	0.00179573	0.002817716	2.11E-08
5-8:het:>40Mb	0.000525662	0.044174807	0.076936563	1.00E-08	0.00127684	2.19E-05	0.00032996	0.004528565	0.000413552	0	0.01649539	0.00069671	6.82E-05	0.00174446	0.07821007	0.25307107	1.00E-08	0.09531375	2.30E-07	0.00182344	0.00247148	0.00133954	1.80E-07	0.000780186	9.32E-08
9+:het:0-100kb	0.000105258	0.000991451	0.00254618	5.16E-05	0.003029025	0.016700899	0.02554054	0.094947456	0.00168183	0.00047103	1.00E-08	2.48E-05	0.00089424	8.20E-07	0.01505965	0.00338768	5.39E-05	0.0093412	0.00503956	0.0035707	5.99E-05	0.000483875	1.41E-05	0.000621376	0.00193162
9+:het:100kb-1Mb	0.000318177	0.00324101	0.00174383	2.15E-05	0.00738562	0.043428957	0.16018674	0.266746762	0.004252061	0.0002512	8.13E-06	0.00018166	0.00050042	0.00012566	0.00017234	0.0033166	7.49E-05	0.05049958	0.00484797	0.00971177	0.00011614	0.00014049	1.50E-07	0.001350168	0.00202686
9+:het:1Mb-10Mb	0.000187035	0.003779865	7.10E-07	2.60E-07	0.00611754	0.00489714	0.14906452	0.110528846	0.000808817	1.00E-08	0.052794321	0.00016027	0.0027117	9.50E-07	0.00554372	0.00998959	0.00013899	0.08409049	0.01332158	0.00568101	3.60E-07	0.00027061	1.40E-07	0.001385586	0.00173436
9+:het:10Mb-40Mb	1.74E-06	0.001908404	0.00197462	2.40E-07	6.79E-05	3.36E-05	0.00053612	0.001809925	3.12E-05	0.00012153	0.00605752	0.00013193	4.29E-05	1.06E-06	0.01155315	0.00316669	0.00012341	0.01848061	1.56E-05	0.00085042	0.00015659	0.000242765	1.40E-07	0.000133182	6.72E-06
9+:het:>40Mb	1.18E-05	0.00209996	0.00203108	1.47E-05	9.30E-05	2.36E-05	2.25E-05	0.001085855	2.93E-05	0.00030777	0.0003921	3.55E-05	9.77E-05	1.27E-06	0.00768259	0.0067409	1.00E-08	0.00241512	2.72E-05	3.53E-05	2.31E-05	2.85E-05	1.40E-07	2.28E-05	4.97E-08
