Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20
AT>CC	0.000297076	4.17E-18	0.009076172	7.00E-18	2.13E-05	6.39E-05	0.00625729	0.000142949	0.001779408	0.00116005	0.00189987	0.003491967	0.001008029	0.00037024	0.010013439	0.002090492	0.007050836	0.001818777	0.002047984	0.00123446
AT>CG	3.98E-06	4.17E-18	0.014593845	9.46E-18	1.05E-17	1.82E-06	0.00110952	0.000265905	9.22E-18	0.002590112	1.74E-05	0.001357392	2.33E-06	4.37E-08	3.00E-07	0.003649763	0.001416492	0.000742811	0.000297899	0.00155349
AT>GA	0.002120539	0.000168036	0.001809237	0.000324145	0.001109908	0.001620348	0.014393767	0.000161942	0.006367881	8.06E-05	0.011199236	0.006419643	0.00213368	0.0042037	0.007839901	0.004752044	0.014212182	0.002640487	0.010191431	0.00845878
AT>GC	0.000174044	5.85E-06	0.005247787	1.76E-05	1.05E-17	1.72E-05	0.009285979	0.00022592	0.001809398	0.004080177	0.004179715	0.004039874	0.000300299	0.000472354	0.014691143	0.001510302	0.010928285	0.000494586	0.002339553	0.00036851
AT>TA	0.002340595	0.000458097	0.002349009	0.004532032	0.000792934	0.002200472	0.033985283	0.000314888	0.00919694	0.002930127	0.003839738	0.002697639	0.010517294	0.009285173	0.012340007	0.006543192	0.012537799	0.008000102	0.012281658	0.00293144
CC>AA	1.06E-05	0.724153238	0.009086168	7.00E-18	1.05E-17	8.30E-18	9.04E-18	0.038086453	9.02E-18	0.013700594	7.35E-18	0.016391962	5.13E-07	0.002647122	0.017028409	0.034187122	0.000352387	0.010610342	0.020589808	0.00037896
CC>AG	1.23E-05	0.072615366	1.11E-17	0.005432436	0.024297979	0.06161322	8.30E-05	0.015494489	0.02639122	7.13E-05	0.000971934	0.019745976	0.011679584	0.000109879	8.94E-06	0.010690711	0.001213603	0.047633472	0.006289116	0.00397481
CC>AT	0.018704754	0.100021165	0.005887517	0.015707044	0.002429798	0.000438094	0.000851631	0.028789759	0.019493515	0.010500455	0.034497648	0.014912009	0.043281394	0.000480437	0.029213271	0.018390883	0.000730958	0.099232424	0.084441241	0.00553983
CC>GA	0.000134034	0.017703746	0.000634732	0.003551593	6.76E-05	0.035507619	0.000301869	0.000808712	0.010996342	0.003390147	0.000952935	0.012598378	1.04E-05	0	8.93E-06	0.002978183	0.000748926	0.015979632	0.003858778	0.00085171
CC>GG	9.82E-05	0.000450095	7.25E-05	7.30E-05	1.19E-05	0.018103885	0.002049113	5.60E-05	0.003058982	7.41E-18	0.003449765	0.02162396	0.000769436	0.001799943	5.91E-07	0.000175355	0.003299617	0.005213375	0.00106943	0.00268544
CC>GT	0.006921759	0.001100233	1.14E-17	7.99E-05	2.48E-05	0.003440738	0.000162929	0.000228919	0.017894047	0.001080047	0.069495262	0.007396935	0.02345453	0.000419574	0.000519642	0.002714998	0.009460629	0.019021139	0.012067483	0.00415748
CC>TA	0.010402644	0.016003386	0.020791232	0.000170076	0.001269894	0.002220476	9.04E-18	0.000715745	0.000686772	0.023901036	0.058795991	0.010815781	0.04135706	0	0.051623875	0.007067731	0.000290776	0.022670451	0.036277155	0.00994449
CC>TG	0.002550648	0.00023705	2.90E-05	8.30E-06	0.0048096	0.006871474	0.000235898	0.004208503	0.015494845	7.41E-18	0.032297798	0.028898566	0.009544726	0.000471886	2.84E-05	0.000419159	0.031639508	0.018068499	0.005603413	0.00199377
CC>TT	0.858218125	4.17E-18	1.11E-17	7.00E-18	1.05E-17	8.30E-18	9.04E-18	0.004378443	9.02E-18	0.020600893	0.331977366	0.001413473	9.97E-05	0.005388226	0.086708012	0.016212038	0.000822735	0.032041353	0.077856007	0.00585993
CG>AT	6.03E-07	0.001150243	0.00028388	0.00029013	0.001639864	0.007541618	6.21E-05	0.000321886	0.000218927	7.41E-18	0.001819876	0.030050354	0.000412789	6.44E-09	0.000185398	0.000129961	0.002510979	0.000826621	0.000254009	0.0014601
CG>GC	5.42E-06	0.000369078	1.11E-17	5.10E-06	9.92E-05	0.000590127	0.000186919	1.13E-17	1.20E-05	1.90E-05	0.000165989	0.085833786	0.001170693	0.001209911	2.76E-06	0.000188346	0.002335362	3.22E-05	4.54E-05	0.00015095
CG>GT	1.70E-06	0.001280271	1.11E-17	7.00E-18	0.006479461	0.003220691	2.07E-05	0.00120957	9.94E-05	1.02E-05	0.00117992	0.096299804	0.00236357	0.000159847	0.000228167	0.001451902	0.00476132	0.001612797	9.18E-05	0.00024229
CG>TA	0.000356091	4.17E-18	0.097858731	7.00E-18	1.05E-17	8.30E-18	9.04E-18	0.00050582	9.02E-18	0.358015516	7.38E-18	0.030507175	0.000655573	6.27E-08	8.70E-05	0.001760233	0.005848084	0.000254724	0.001895043	0.0005112
CG>TC	1.26E-05	0.002150455	0.000721696	7.00E-18	2.98E-05	0.008911912	4.87E-05	0.000904678	0.000132956	0.002650115	0.000684953	0.119573465	0.00221426	0.000198283	0.000617251	0.001206429	0.005637013	0.001207225	0.000296905	0.00127668
CG>TT	0.000124032	0.005561177	0.007166978	0.000361162	0.002219815	0.018704013	3.13E-05	0.000328883	8.29E-05	0.007770337	0.000698952	0.110196291	0.00164313	0.000106432	0.002673117	0.003571947	0.012321918	0.00254547	0.001626719	0.00039108
CT>AA	2.77E-05	0.003210679	0.000102957	7.00E-18	0.465961237	0.004480961	9.04E-18	0.020592675	9.02E-18	0.00393017	0.0043997	0.008059373	0.061689865	0.000213356	0.003747327	0.06121544	0.01041216	0.026536827	0.010148639	0.00960691
CT>AC	0.000419107	4.17E-18	0.029087733	7.00E-18	0.208982615	0.001950419	1.01E-17	0.013995022	9.02E-18	0.013000563	0.00234984	0.007940884	0.025896885	0.008975521	0.076431379	0.08305172	0.014599085	0.026147565	0.006679462	0.00569839
CT>AG	2.85E-18	0.000587124	0.113951944	0.000363163	0.026697779	0.039508477	0.001259455	0.020392746	0.000581806	0.026501149	0.000495966	0.004231297	0.013288341	0	2.94E-06	0.033156692	0.008127513	0.007266997	0.002646422	0.00057029
CT>GA	8.92E-05	1.81E-05	1.72E-05	0.000673302	0.016098661	0.007341575	0.001869191	0.005568019	0.002839055	7.41E-18	0.011599209	0.001974625	0.001094087	0.000202334	0.000281927	0.001115376	0.005520223	0.003647363	0.003176448	0.00312897
CT>GC	0.000252064	0.000134028	2.69E-05	7.22E-05	0.004849597	0.001790384	0.015593248	0.000236916	0.003108966	7.41E-18	0.006109583	0.000889745	0.003880389	0.00439828	0.000332526	0.008867382	0.011094593	0.001224537	0.003364375	0.00063377
CT>GG	1.08E-05	8.98E-05	5.99E-05	0.000926415	0.000569953	0.006811462	0.003998269	0.000305891	0.010396541	7.41E-18	0.004019726	0.011406077	0.002649986	9.47E-05	0.000242249	0.004112066	0.007749222	0.001985281	0.001009744	0.00050315
CT>TA	0.007811985	0.003380715	0.000183922	7.00E-18	0.003339722	8.84E-05	9.04E-18	0.010896124	9.02E-18	0.004030175	0.041697157	0.010594002	0.031085796	0.001389264	0.003422208	0.017791431	0.000912168	0.009521994	0.071396106	0.01808698
CT>TC	0.010502669	3.84E-05	0.006337327	7.00E-18	0.00023698	8.30E-18	0.063172644	0.017793671	3.00E-05	0.002750119	0.002989796	0.009083663	0.008510987	0.027589692	0.066518088	0.092975607	0.018732976	0.006320824	0.045766787	0.00065994
CT>TG	0.002240569	0.000390083	0.052177995	3.08E-05	0.000873927	0.011202404	9.04E-18	0.000965657	9.46E-18	0.045701981	0.001479899	0.003177719	0.003913486	0.000371732	7.22E-06	0.006479737	0.024440751	0.002596032	0.013528268	0.00600496
GC>AA	0.001580402	0.005081075	2.16E-05	0.328147163	0.000132989	8.30E-18	9.04E-18	0.012895413	9.02E-18	0.004080177	0.000999932	0.026554392	3.19E-08	0.000208559	0.043811196	0.015656868	0.125929493	0.034834999	0.01319082	0.01018321
GC>AG	0.000107027	0.000325069	0.00052178	0.01130507	0.002659779	0.003660785	7.30E-05	0.008516971	0.123958759	7.41E-18	0.003289776	0.010307466	0.016969154	0.000477128	0.003924086	0.0075527	0.018904026	0.042296529	0.003964108	0.00971442
GC>AT	4.87E-05	0.000953202	0.003988318	0.009244146	0.001569869	0.001880403	0.000349849	0.005508041	0.125958094	0.007750336	0.027198146	0.006964502	0.017372386	2.47E-07	0.145018301	0.004065	0.046250688	0.050690401	0.003925252	0.01683102
GC>CA	5.76E-05	0.001060224	0.0002369	0.011905339	0.004579619	0.008691865	0.00066971	0.004828283	0.027390887	0.000105005	0.002109856	0.005267102	0.010399208	0.000156319	0.001191386	0.003761259	0.011349393	0.023420801	0.001043018	0.00996847
GC>CG	5.15E-06	6.69E-05	1.11E-17	9.83E-07	0.000322973	9.04E-18	0.002648853	0.000241914	0.002499169	7.41E-18	0.004039725	0.00101238	0.000864869	0.000572407	0.000351655	0.001254815	0.00036973	0.00193531	0.000184208	0.00098246
GC>TA	8.27E-07	0.000736156	0.004228217	0.017707941	0.000221982	0.000829178	6.24E-06	0.008556956	0.013995344	0.002810122	0.000242983	0.000770159	3.39E-05	6.34E-06	0.001700454	0.000666802	0.008755137	0.019024828	0.000915514	0.00031415
TA>AT	0.000505128	0.002750582	0.001449389	0.030413639	0.001869844	0.008571839	0.055775847	0.009696551	0.015494845	0.010400451	0.002229848	0.008196571	0.006245895	0.010463586	0.025317628	0.008410253	0.008762457	0.010450043	0.009849565	0.16094933
TA>CG	7.55E-06	1.89E-05	0.003338592	0.000389175	7.89E-06	0.000259056	0.00304868	2.09E-05	0.001349551	0.004110178	0.00058396	0.00054599	0.000244713	0.00014673	0.015331004	0.001250772	0.007286582	0.001925745	0.000585235	0.00644311
TA>CT	0.000702178	0.000280059	0.000343855	0.008723912	0.002269811	0.026105602	0.029087404	0.004098542	0.014195277	0.00162007	0.00337977	0.003157555	0.016384837	0.003276151	0.00256413	0.010859844	0.016921233	0.011142003	0.009324654	0.11690854
TA>GC	2.01E-05	8.22E-05	0.001989161	7.02E-05	5.22E-05	0.000264057	0.001509346	0.000788719	0.000578807	7.41E-18	0.00101993	0.001798997	0.000126772	8.18E-05	7.97E-05	0.000900104	0.00070131	0.000262405	0.00025387	0.00286647
TA>GG	7.03E-05	7.89E-05	0.005457698	0.002220996	0.001629864	0.000218047	0.004308134	0.000216923	0.003248919	0.008590372	0.000374974	0.002579796	0.00059345	0.000358303	0.002323631	0.00093403	0.005882048	0.003743955	0.001149146	0.00980494
TA>GT	0.001150292	0.001300275	0.000361847	0.008063616	0.001909841	6.25E-05	0.026288616	0.000152946	0.007777412	0.003610156	0.002669818	0.001542158	0.006147368	0.003566001	0.000822818	0.005843986	0.012383849	0.007031086	0.007717736	0.05618043
TC>AA	1.09E-05	0.001450307	0.005487686	0.379170045	0.040396639	0.045809829	0.019591516	0.038786204	0.003688773	0.007560328	0.000216985	0.02219116	0.068108944	0.000633091	0.000486878	0.072475827	0.058157842	0.003674987	0.013038923	0.18018691
TC>AG	3.09E-06	0.000200042	6.14E-06	0.001870839	0.014898761	0.008281777	4.00E-06	0.011595875	0.046684468	0.000271012	0.047396768	0.007778106	0.067216661	5.73E-09	0.000115018	0.009803143	0.000232577	0.011850575	0.002819328	0.00799556
TC>AT	0.002460625	4.17E-18	0.001119528	0.008413773	0.000747938	0.000594127	0.002289009	0.018493422	0.051782772	0.003090134	0.084594232	0.019078044	0.157912393	0.001992905	0.008164433	0.025369037	0.001311999	0.073564885	0.089890485	0.0239577
TC>CA	4.42E-06	0.000682144	0.065472389	0.084637957	0.001429881	0.011802532	0.002708827	0.017593742	0.04878377	0.025201092	0.000281981	0.023730105	0.037507986	0.00474929	0.020503712	0.014005863	0.005348827	0.01880728	0.004528278	0.01512029
TC>CG	3.30E-05	3.89E-06	0.000115951	0.000400179	1.06E-17	0.000862185	0.001629294	0.010896124	0.007787409	0.000842036	0.003239779	0.006832254	0.007226905	0.000758988	3.40E-06	0.000258731	0.001641628	0.002192277	0.000635175	0.00047311
TC>CT	0.001900483	0.003350709	0.019391822	8.28E-06	0.001049913	0.009392015	0.009186022	0.008756885	0.051382905	0.026201136	0.02009863	0.006225306	0.032501655	0.029846272	0.048024505	0.007547601	0.020706331	0.025513035	0.018195221	0.01822673
TC>GA	6.42E-05	0.000885187	0.077767204	0.036416331	2.46E-05	0.007341575	9.04E-18	0.009606583	0.017294246	0.043801898	0.000234984	0.012496645	0.011584332	0	2.35E-06	0.004011448	0.006224147	0.001900806	0.003204044	0.00704212
TC>GG	0.000411104	9.87E-06	0.000176925	1.04E-05	3.48E-05	0.001510324	0.000705694	0.001909321	0.003728759	7.41E-18	0.0073295	0.00170472	0.015384381	9.47E-05	1.15E-09	0.002238811	0.00028347	0.001838723	0.001200299	0.00095776
TC>GT	0.005101297	8.57E-05	0.043381705	7.00E-18	3.86E-05	8.30E-18	9.04E-18	0.000275902	9.15E-18	0.045901989	0.015198964	0.001367407	0.033311728	0.000523876	0.000147695	0.004264773	0.000388565	0.008122282	0.025897391	0.00543547
TG>AA	0.001370348	0.002960626	6.68E-05	0.007633423	0.017998503	0.025505473	0.022590218	0.008646924	0.015794745	0.001420062	0.007829466	0.002809632	0.019240879	0.000412255	0.003557839	0.007169951	0.008244438	0.010047845	0.009196022	0.02281667
TG>AC	0.00023706	0.000220047	8.04E-05	0.000118053	0.001459879	0.010102168	0.002618866	0.003848631	0.007267582	0.000207009	0.000865941	0.000920679	0.004423546	2.78E-05	0.000159038	0.000798883	0.002321386	0.004515355	0.001923671	0.00386415
TG>AT	0.002410613	0.004290908	0.000957596	7.00E-18	0.020398303	0.22104743	0.001289442	0.008217077	0.000745752	0.002500108	0.010499284	0.019556754	0.018519707	0.001017406	0.0018636	0.008949356	0.009103068	0.026969591	0.015606709	0.04884615
TG>CA	0.000279071	0.00014403	0.015893297	0.000804361	0.00047596	0.011402447	0.023889655	0.005058201	0.022792417	0.029201266	0.056096175	0.015597346	0.028637802	0.005926623	0.078812759	0.005452183	0.145545155	0.015736824	0.007013561	0.00243813
TG>CC	0.000103026	5.94E-05	0.000483796	0.000120054	0.000505958	0.007891693	0.001049546	0.001249556	0.011796075	0.000190008	0.003129787	0.022780717	0.005206514	0.000433533	0.000194374	0.002423519	0.017292738	0.003782541	0.001872952	0.00013112
TG>CT	0.00185047	0.00307065	0.006067441	8.21E-05	0.000327973	0.27505902	9.04E-18	0.019493066	0.000967678	0.004330188	0.00557962	0.018261631	0.016504787	0.000426796	0.003678294	0.009846344	0.0037354	0.010574651	0.016813086	0.01212043
TG>GA	0.000407103	0.001470311	0.00052278	0.007853522	0.003269728	0.007441597	0.008246429	0.000270904	0.006177945	2.02E-05	0.007309502	0.002296312	0.006105121	0.003540887	0.005464154	0.001188845	0.009965739	0.00077124	0.00328371	0.0191511
TG>GC	8.89E-05	0.000272058	0.00049779	0.000604271	0.000291976	0.005601202	0.003878321	0.003538741	0.0039087	7.41E-18	0.006119583	0.001950142	0.002194356	0.003046221	0.000649841	0.00140568	0.00747641	0.000830959	0.001364974	0.00051919
TG>GT	0.001900483	0.006401355	0.010295658	3.23E-05	0.082693121	0.027405881	0.00870623	0.007857205	0.003338889	0.002170094	0.005239643	0.005554744	0.019161828	0.032619614	0.005781918	0.028982983	0.003237668	0.003101985	0.009557295	0.00525343
TT>AA	0.005491396	0.004310912	0.003218643	1.80E-05	0.004919591	0.000193041	0.23489828	0.003578727	0.000340887	0.014500628	0.004769675	0.004289044	0.013185494	0.193877621	0.008262647	0.033515238	0.000211844	0.027232862	0.052897039	0.062662
TT>AC	0.000720183	0.000345073	0.002428976	6.60E-07	0.00096592	0.000128027	0.039982686	1.13E-17	0.006657785	7.41E-18	0.001039929	0.000410836	0.00147249	0.012421524	0.003723603	0.008655384	0.011976581	0.017467985	0.009625463	0.01054644
TT>AG	0.000418106	0.000215046	0.022890347	7.00E-18	0.000892926	0.002120455	0.053876669	0.014594809	0.000917695	0.006960302	0.001269913	0.003053703	0.005792166	0.006800535	0.000263724	0.030637872	0.006402165	0.008045275	0.009413469	0.01556096
TT>CA	0.000725184	4.17E-18	0.000693707	7.00E-18	1.05E-17	8.30E-18	0.09765771	0.006287763	9.03E-18	0.001290056	0.002019862	0.003296511	0.00380848	0.007467717	0.002669611	0.089474486	0.013897479	0.016968792	0.022062368	0.00064064
TT>CC	0.005421378	2.98E-06	0.00815656	7.00E-18	0.000772936	8.30E-18	0.035384677	0.000293895	0.005158284	0.002880125	0.003999727	1.88E-07	1.05E-06	0.374297513	0.013720759	1.92E-06	3.80E-06	2.12E-07	0.033990285	0.00275531
TT>CG	8.38E-05	1.52E-05	0.031786595	7.25E-18	1.05E-17	1.12E-05	0.002668844	0.000115959	1.98E-05	0.008580372	9.96E-18	0.001672661	0.000856761	3.36E-05	0.002697436	0.011152748	0.0063733	0.003825314	0.003706624	0.00098567
TT>GA	0.001860473	4.79E-05	0.012294815	7.00E-18	2.99E-05	8.30E-18	0.043581128	0.003628709	9.17E-18	0.008690377	0.000706952	0.000442363	0.002826837	0.015890093	0.000797128	0.008136742	0.008662665	0.001357204	0.016435813	0.00134789
TT>GC	0.001060269	1.54E-06	0.066471967	7.00E-18	5.66E-05	4.09E-07	0.003668411	0.000285898	3.56E-05	0.025801118	5.78E-06	0.006538126	0.000755107	0.006386925	0.010482114	0.013267588	0.018174357	0.00270108	0.009665843	0.00271044
TT>GG	0.001610409	4.17E-18	0.170927916	7.00E-18	1.05E-17	8.30E-18	9.04E-18	0.000537809	9.02E-18	0.084703671	7.34E-18	2.94E-07	2.32E-06	0.175973553	1.43E-05	0.000274018	4.75E-06	3.96E-07	0.010591496	0.00018887
